submission_id,age,cups,where_drink,brew,brew_other,purchase,favorite,additions,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,education_level,employment_status,marital_status,number_children,household_income
42NVeB,35-44 years old,1,"('At home',)","('Pour over', 'Espresso', 'Cold brew')",,,Pourover,"('No - just black',)",,,Bright,Somewhat strong,Light,Full caffeine,8,1,4,4,3,3,3,2,1,4,2,3,4,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$150,000 or more"
QABllp,35-44 years old,3,"('At home', 'On the go', 'At the office', 'At a cafe')","('Pour over', 'Cold brew', 'French press')",,"('Local cafe', 'Specialty coffee shop')",Pourover,"('No - just black',)",,,Floral,Somewhat strong,Light,Full caffeine,6,2,4,4,4,3,3,3,2,2,1,4,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$80-$100,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
RzByNJ,25-34 years old,1,"('At home',)","('Pour over',)",,,Pourover,"('No - just black',)",,,Fruity,Very strong,Light,Full caffeine,5,2,4,4,3,2,3,2,3,4,2,3,5,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"('It tastes good',)",,Yes,Yes,$10-$15,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
oAVLP1,35-44 years old,2,"('At home',)","('Pour over', 'Espresso')",,,Espresso,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,7,2,3,5,3,4,2,3,3,4,2,4,5,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$15-$20,More than $20,Yes,$100-$300,Yes,Male,Doctorate or professional degree,Employed full-time,Single,None,"$75,000 - $99,999"
kYRBj1,35-44 years old,2,"('At home',)","('Pour over',)",,,Regular drip coffee,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,7,2,4,4,5,3,2,4,2,3,1,5,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$100,000 - $149,999"
EPb79q,35-44 years old,3,"('At home', 'At the office')","('Other',)",clever dripper,,Pourover,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,8,2,5,4,4,1,1,3,2,3,1,4,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,Master's degree,Employed full-time,Married,None,"$150,000 or more"
aBrqMq,18-24 years old,1,"('At home', 'At a cafe')","('Pour over',)",,,Pourover,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Sweet,Medium,Medium,Full caffeine,6,2,4,3,2,2,5,4,2,2,4,5,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$15-$20,Yes,$500-$1000,Yes,Male,Some college or associate's degree,Employed full-time,Married,1,"$75,000 - $99,999"
GrBAVZ,25-34 years old,2,"('At home',)","('Pour over', 'Espresso', 'Coffee extract (e.g. Cometeer)', 'Other')",Aeropress,,Espresso,"('No - just black',)",,,Fruity,Somewhat light,Light,Full caffeine,7,2,4,4,2,4,3,2,3,3,1,5,5,Coffee A,Coffee D,Coffee D,I primarily work in person,<$20,"('I need the ritual',)",,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,Some college or associate's degree,Employed full-time,Living with a partner,None,"$25,000 - $49,999"
5dqP7d,25-34 years old,1,"('At home',)","('Other',)",Aeropress and fellow ode v2,,Other,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,5,1,5,4,3,3,3,4,2,4,2,4,4,Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,"('It tastes good',)",,Yes,Yes,$6-$8,$4-$6,No,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$50,000 - $74,999"
kYRBL6,18-24 years old,2,"('At the office', 'At home', 'At a cafe', 'On the go')","('Pour over',)",,"('Local cafe', 'Specialty coffee shop')",Pourover,"('No - just black',)",,,Fruity,Somewhat light,Light,Full caffeine,7,2,4,4,3,3,1,4,3,3,1,5,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$75,000 - $99,999"
DVv6oR,18-24 years old,1,"('At home', 'At a cafe')","('Other',)",immersion,,Iced coffee,"('Sugar or sweetener',)",,"('Raw Sugar (Turbinado)',)",Fruity,Somewhat strong,Light,Full caffeine,5,2,5,3,4,2,4,5,1,2,1,4,5,Coffee B,Coffee D,Coffee D,I do a mix of both,$20-$40,"('It tastes good',)",,Yes,Yes,$15-$20,More than $20,No,$100-$300,Yes,Prefer not to say,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
GrBAGj,18-24 years old,2,"('At home', 'At the office')","('Pour over', 'Cold brew', 'Other')",Aeropress,,Pourover,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,7,2,4,4,3,2,3,4,2,2,2,3,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,$15-$20,Yes,$500-$1000,Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$50,000 - $74,999"
24xG9L,25-34 years old,1,"('At home',)","('Other',)",Aeropress/Clever Dripper,,Other,"('No - just black',)",,,Fruity,Very strong,Light,Full caffeine,8,1,2,3,3,1,3,4,2,1,2,3,5,Coffee A,Coffee D,Coffee D,I primarily work in person,<$20,"('It tastes good', 'I need the ritual')",,Yes,Yes,$4-$6,$8-$10,No,$100-$300,Yes,Male,Master's degree,Employed part-time,Single,None,"$25,000 - $49,999"
lNlkGW,35-44 years old,2,"('At home', 'At the office')","('Espresso',)",,,Cortado,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk', 'Skim milk')",,Bold,Somewhat strong,Medium,Full caffeine,6,3,4,2,3,1,3,4,1,3,4,3,4,Coffee B,Coffee D,Coffee D,I primarily work in person,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,Yes,$15-$20,$15-$20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$150,000 or more"
vNx58v,25-34 years old,2,"('At a cafe', 'At home', 'On the go')","('Coffee brewing machine (e.g. Mr. Coffee)',)",,"('Specialty coffee shop', 'Local cafe')",Other,"('No - just black',)",,,Juicy,Somewhat light,Light,Full caffeine,9,2,4,4,3,3,3,4,1,2,1,5,5,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,Yes,$15-$20,More than $20,Yes,$20-$50,Yes,Female,Bachelor's degree,Employed full-time,Living with a partner,None,"$50,000 - $74,999"
g5N6BN,18-24 years old,Less than 1,"('At a cafe',)",,,,Iced coffee,"('Sugar or sweetener',)",,"('Granulated Sugar',)",Full Bodied,Medium,Light,Decaf,2,1,1,4,3,4,5,4,2,3,4,3,3,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,"('It tastes good',)",,Yes,No,$6-$8,$8-$10,Yes,Less than $20,Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
OABMRK,25-34 years old,2,"('At home', 'At the office', 'On the go')","('Pour over', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,"('Specialty coffee shop',)",Pourover,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,5,2,3,4,2,1,2,2,2,2,1,3,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"('It tastes good', 'I need the caffeine')",,Yes,No,$8-$10,$8-$10,No,$500-$1000,Yes,Female,Bachelor's degree,Employed full-time,Married,2,"$150,000 or more"
eBxWVq,45-54 years old,2,"('At home',)","('Pour over', 'Coffee extract (e.g. Cometeer)', 'Bean-to-cup machine', 'Coffee brewing machine (e.g. Mr. Coffee)')",,,Pourover,"('No - just black',)",,,Fruity,Medium,Medium,Full caffeine,4,1,5,3,4,1,2,4,1,3,2,4,4,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Male,Bachelor's degree,Employed full-time,Married,3,"$150,000 or more"
g5N621,25-34 years old,1,"('At home', 'At the office')","('Pour over',)",,,Pourover,"('No - just black',)",,,Bright,Somewhat light,Light,Full caffeine,6,1,5,4,5,1,4,4,3,3,3,3,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$80-$100,"('I need the ritual', 'I need the caffeine', 'It tastes good')",,Yes,Yes,$10-$15,$10-$15,Yes,,Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$100,000 - $149,999"
5dqPJM,35-44 years old,Less than 1,"('At home',)","('Espresso', 'Cold brew')",,,Latte,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Chocolatey,Somewhat strong,Light,Decaf,2,2,3,2,3,1,1,2,2,1,2,4,4,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'It makes me go to the bathroom')",,Yes,No,$8-$10,More than $20,Yes,"More than $1,000",Yes,Non-binary,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
7d9ryL,25-34 years old,1,"('At the office', 'At home')","('Pour over', 'Espresso', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,,Latte,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Oat milk', 'Whole milk')",,Nutty,Medium,Medium,Full caffeine,6,3,5,3,4,2,5,2,3,4,1,4,2,Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,"('I need the ritual', 'It tastes good')",,Yes,No,$8-$10,$6-$8,Yes,$500-$1000,Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$75,000 - $99,999"
aBrq7E,45-54 years old,1,"('At home',)","('Pour over',)",,,Pourover,"('No - just black',)",,,Full Bodied,Very strong,Light,Full caffeine,5,3,5,2,2,3,3,4,2,4,2,5,2,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$4-$6,$4-$6,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$150,000 or more"
XeBPa4,55-64 years old,2,"('At home',)","('Coffee brewing machine (e.g. Mr. Coffee)', 'Other')",Aeropress,,Regular drip coffee,"('No - just black',)",,,Bold,Somewhat strong,Dark,Full caffeine,5,1,3,3,2,3,5,3,4,4,3,4,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"('It tastes good',)",,Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,Bachelor's degree,Retired,Single,2,"$25,000 - $49,999"
kYRBqJ,25-34 years old,2,"('At home',)","('Espresso', 'Cold brew')",,,Latte,"('Milk, dairy alternative, or coffee creamer', 'No - just black')","('Whole milk', 'Oat milk')",,Chocolatey,Somewhat strong,Medium,Full caffeine,6,2,2,3,4,2,3,1,5,2,2,3,5,Coffee B,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good',)",,Yes,No,$10-$15,$10-$15,No,$500-$1000,No,Male,Some college or associate's degree,Employed full-time,Single,None,"$25,000 - $49,999"
24xGGL,18-24 years old,1,"('At home', 'At a cafe')","('Pour over',)",,,Pourover,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,8,1,5,4,3,1,3,3,2,3,2,4,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,More than $20,Yes,$50-$100,Yes,Male,Bachelor's degree,Employed full-time,Single,None,"Under $25,000"
aBrqqq,25-34 years old,2,"('At home',)","('French press', 'Pour over', 'Espresso', 'Instant coffee', 'Other')",Aeropress,,Latte,"('No - just black',)",,,Chocolatey,Medium,Medium,Full caffeine,7,3,4,3,4,3,2,4,2,5,2,5,4,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"('I need the caffeine', 'It makes me go to the bathroom', 'I need the ritual', 'It tastes good')",,Yes,No,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,Employed full-time,Single,None,"$100,000 - $149,999"
VZ1O6v,25-34 years old,2,"('At home', 'On the go')","('Pour over', 'Other')",Aeropress,"('Specialty coffee shop', 'National chain (e.g. Starbucks / Dunkin)')",Pourover,"('No - just black',)",,,Sweet,Very strong,Medium,Half caff,6,1,3,5,3,1,3,3,1,2,1,3,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"('I need the ritual', 'I need the caffeine', 'It tastes good')",,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,Student,Single,None,"$75,000 - $99,999"
jB9AjR,18-24 years old,2,"('At home', 'On the go')","('Pour over', 'Espresso')",,"('Local cafe',)",Pourover,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Caramalized,Medium,Medium,Full caffeine,5,1,4,4,5,1,3,4,3,5,1,5,2,Coffee C,Coffee A,Coffee C,,<$20,"('It tastes good', 'I need the caffeine', 'I need the ritual', 'It makes me go to the bathroom')",,Yes,No,$10-$15,More than $20,Yes,$50-$100,No,Female,Doctorate or professional degree,Student,Living with a partner,None,"$25,000 - $49,999"
AlbeM0,35-44 years old,2,"('At home', 'At a cafe', 'At the office', 'On the go')","('Pour over', 'French press', 'Cold brew')",,"('Local cafe', 'National chain (e.g. Starbucks / Dunkin)', 'Specialty coffee shop')",Latte,"('No - just black', 'Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener', 'Flavor syrup')","('Whole milk', 'Half and half', 'Coffee creamer', 'Oat milk')","('Granulated Sugar', 'Maple Syrup')",Bright,Somewhat strong,Light,Full caffeine,7,2,3,3,4,2,2,5,2,1,2,4,4,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$100,000 - $149,999"
NAB1ZQ,35-44 years old,3,"('At home', 'At the office')","('Coffee brewing machine (e.g. Mr. Coffee)', 'Pour over', 'Espresso')",,,Cortado,"('Milk, dairy alternative, or coffee creamer', 'No - just black')","('Whole milk',)",,Bold,Somewhat strong,Light,Full caffeine,5,1,3,3,3,2,3,3,2,3,1,1,5,Coffee B,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good', 'It makes me go to the bathroom', 'I need the ritual')",,Yes,Yes,$8-$10,$10-$15,Yes,Less than $20,Yes,Female,Bachelor's degree,Employed full-time,Married,None,"$150,000 or more"
xdN5GG,25-34 years old,2,"('At the office', 'At home')","('Pour over',)",,,Pourover,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,6,1,5,2,4,4,4,3,2,3,2,4,5,Coffee B,Coffee D,Coffee D,I do a mix of both,$20-$40,"('It tastes good', 'I need the ritual', 'I need the caffeine')",,Yes,Yes,$6-$8,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$100,000 - $149,999"
oAVLJX,18-24 years old,Less than 1,"('None of these',)",,,,Mocha,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener', 'Flavor syrup')","('Almond milk', 'Oat milk', 'Whole milk', 'Flavored coffee creamer')","('Granulated Sugar', 'Brown Sugar')",Chocolatey,Weak,Italian,Decaf,1,3,2,1,4,2,1,3,3,1,2,4,2,Coffee C,Coffee D,Coffee D,I do a mix of both,<$20,"('I need the caffeine', 'It makes me go to the bathroom')",,No,No,$4-$6,$4-$6,Yes,Less than $20,Yes,Female,Bachelor's degree,Employed full-time,Single,None,"Under $25,000"
lNlkx5,55-64 years old,4,"('At home',)","('French press', 'Espresso', 'Coffee brewing machine (e.g. Mr. Coffee)')",,,Espresso,"('No - just black',)",,,Full Bodied,Somewhat strong,Dark,Full caffeine,9,2,4,2,1,4,3,2,3,4,2,2,2,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"('It tastes good', 'Other', 'I need the ritual')",one of my passions,Yes,Yes,More than $20,$2-$4,No,$300-$500,Yes,Male,Master's degree,Retired,Divorced,2,"Under $25,000"
ZdRrqa,25-34 years old,2,"('At home',)","('French press', 'Coffee brewing machine (e.g. Mr. Coffee)')",,,Latte,"('Milk, dairy alternative, or coffee creamer',)","('Skim milk',)",,Caramalized,Medium,Medium,Full caffeine,5,1,3,2,2,2,4,2,2,2,1,3,4,Coffee B,Coffee D,Coffee B,I primarily work from home,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,No,$8-$10,$8-$10,Yes,$500-$1000,Yes,Female,Master's degree,Employed full-time,Married,None,"$150,000 or more"
OABM28,45-54 years old,More than 4,"('At home', 'At the office', 'On the go')","('Coffee brewing machine (e.g. Mr. Coffee)', 'Cold brew', 'Instant coffee')",,"('Local cafe',)",Regular drip coffee,"('No - just black',)",,,Full Bodied,Somewhat strong,Light,Full caffeine,5,2,3,5,5,1,1,1,3,4,1,3,4,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,"('I need the ritual', 'I need the caffeine', 'It tastes good')",,Yes,Yes,$4-$6,$2-$4,No,$50-$100,Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$25,000 - $49,999"
xdN5by,25-34 years old,1,"('At the office', 'At home')","('Pour over', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,,Pourover,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Flavored coffee creamer', 'Almond milk')",,Fruity,Somewhat strong,Light,Full caffeine,8,3,4,2,2,3,2,2,1,4,3,5,5,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,"('It makes me go to the bathroom', 'It tastes good', 'I need the caffeine')",,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Female,Master's degree,Employed part-time,Married,None,"$150,000 or more"
ylq5Lp,25-34 years old,Less than 1,"('At home',)","('Pod/capsule machine (e.g. Keurig/Nespresso)', 'French press')",,,Pourover,"('No - just black',)",,,Bright,Medium,Light,Full caffeine,5,1,4,4,3,1,2,2,4,3,2,4,4,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"('It tastes good',)",,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Non-binary,Master's degree,Employed full-time,Single,None,"$75,000 - $99,999"
0EjR96,25-34 years old,1,"('At home',)","('Other',)",Aeropress,,Other,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,6,2,4,2,2,2,3,5,3,4,1,5,4,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Bachelor's degree,,Married,None,"$150,000 or more"
dY2eMA,25-34 years old,2,"('At home',)","('Coffee brewing machine (e.g. Mr. Coffee)',)",,,Regular drip coffee,"('No - just black',)",,,Full Bodied,Medium,Dark,Full caffeine,5,1,3,3,4,3,2,4,4,4,3,4,4,Coffee C,Coffee D,Coffee C,I primarily work from home,$80-$100,"('I need the ritual', 'I need the caffeine', 'It tastes good')",,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Female,Bachelor's degree,Employed full-time,Single,None,"$50,000 - $74,999"
jB9A4x,25-34 years old,4,"('At home',)","('Espresso', 'Other', 'French press', 'Cold brew')",aeropress,,Americano,"('No - just black',)",,,Fruity,Somewhat strong,Medium,Full caffeine,6,2,4,3,2,2,4,3,2,5,3,3,5,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good',)",,Yes,Yes,$4-$6,$4-$6,Yes,$300-$500,Yes,Male,Bachelor's degree,Employed part-time,Single,None,"$75,000 - $99,999"
42NV5B,55-64 years old,1,"('At home',)","('Pod/capsule machine (e.g. Keurig/Nespresso)', 'Bean-to-cup machine', 'Other')",aero press,,Regular drip coffee,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Nutty,Medium,Medium,Half caff,4,2,4,2,2,3,5,2,3,5,3,4,1,Coffee B,Coffee A,Coffee B,,$20-$40,"('It tastes good',)",,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Female,Master's degree,Retired,Married,2,
oAVLZP,25-34 years old,2,"('At home',)","('Pour over', 'Espresso', 'Coffee extract (e.g. Cometeer)', 'Coffee brewing machine (e.g. Mr. Coffee)')",,,Pourover,"('No - just black',)",,,Chocolatey,Somewhat light,Medium,Full caffeine,3,1,3,2,3,2,5,3,3,4,1,4,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$6-$8,$8-$10,Yes,$50-$100,Yes,Female,Bachelor's degree,Homemaker,Married,1,"$150,000 or more"
EPb77X,45-54 years old,3,"('At home', 'At the office')","('Espresso', 'Other')",Aeropress,,Latte,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Chocolatey,Somewhat strong,Medium,Full caffeine,6,1,4,3,3,1,3,3,1,4,2,5,5,Coffee C,Coffee D,Coffee C,I primarily work in person,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,$4-$6,$6-$8,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,2,"$100,000 - $149,999"
pLPpQV,18-24 years old,Less than 1,"('At home', 'At a cafe')","('Pour over', 'Instant coffee', 'Cold brew')",,,Latte,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener', 'No - just black')","('Whole milk',)","('Granulated Sugar',)",Fruity,Medium,Light,Decaf,7,2,5,5,5,3,3,4,3,3,2,4,5,Coffee A,Coffee D,Coffee D,,<$20,"('It tastes good',)",,Yes,Yes,$6-$8,$8-$10,No,,,Male,,Student,Single,None,"$150,000 or more"
OABMq7,25-34 years old,2,"('On the go', 'At home', 'At the office', 'At a cafe')","('Espresso',)",,"('Specialty coffee shop', 'Local cafe')",Latte,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Caramalized,Somewhat strong,Medium,Full caffeine,7,2,3,5,3,1,4,3,1,3,2,4,2,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$150,000 or more"
PABJJ5,45-54 years old,2,"('At home',)","('Pour over',)",,,Mocha,"('No - just black',)",,,Full Bodied,Very strong,Medium,Full caffeine,7,2,1,3,1,2,4,4,3,2,2,4,2,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,High school graduate,Employed full-time,Married,1,"$150,000 or more"
1r2oQQ,25-34 years old,4,"('At home',)","('Pour over', 'Espresso', 'Coffee brewing machine (e.g. Mr. Coffee)', 'Coffee extract (e.g. Cometeer)')",,,Pourover,"('No - just black',)",,,Bright,Somewhat strong,Light,Full caffeine,7,1,3,4,3,2,3,3,1,2,1,3,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,1,"$150,000 or more"
6dQEoO,35-44 years old,2,"('At the office', 'At home')","('Espresso', 'Pour over')",,,Cortado,"('No - just black',)",,,Juicy,Medium,Medium,Full caffeine,6,1,2,2,1,2,4,2,1,3,1,3,2,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,$8-$10,$6-$8,No,"More than $1,000",Yes,Male,Master's degree,Employed full-time,Married,1,"$150,000 or more"
24xG6V,18-24 years old,1,"('At home', 'On the go')","('Other', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",Infusion Brew (Aeropress),"('Deli or supermarket',)",Cappuccino,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Whole milk',)","('Granulated Sugar',)",Nutty,Somewhat light,Medium,Full caffeine,6,2,4,2,3,3,3,4,2,4,2,3,1,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,No,$8-$10,$10-$15,Yes,$20-$50,Yes,Male,Some college or associate's degree,Student,Single,None,"Under $25,000"
lNlkkB,35-44 years old,2,"('At home',)","('Espresso',)",,,Mocha,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk', 'Almond milk')",,Caramalized,Very strong,Dark,Full caffeine,7,2,4,3,2,3,4,3,2,5,3,4,2,Coffee C,Coffee A,Coffee C,I primarily work from home,<$20,"('It tastes good',)",,Yes,Yes,More than $20,More than $20,No,$100-$300,Yes,Male,Some college or associate's degree,Employed part-time,Married,None,"$75,000 - $99,999"
oAVL8e,45-54 years old,1,"('At home', 'At a cafe')","('Pour over', 'French press', 'Cold brew', 'Coffee extract (e.g. Cometeer)', 'Instant coffee', 'Other')",Moka pot,,Iced coffee,"('No - just black',)",,,Chocolatey,Medium,Medium,Full caffeine,7,4,2,3,2,4,4,3,2,3,3,5,2,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"('I need the caffeine', 'It tastes good')",,Yes,No,$4-$6,$6-$8,Yes,$100-$300,Yes,Female,Doctorate or professional degree,Employed full-time,Single,None,"$50,000 - $74,999"
rlrMz5,25-34 years old,2,"('At home', 'At the office')","('Pour over', 'Coffee extract (e.g. Cometeer)', 'Cold brew', 'Other')",Aeropress,,Regular drip coffee,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,7,3,4,4,4,2,3,4,4,3,2,4,5,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual', 'It makes me go to the bathroom')",,Yes,Yes,$6-$8,$10-$15,No,$100-$300,Yes,Male,Doctorate or professional degree,Student,Living with a partner,None,"$75,000 - $99,999"
42NV0k,18-24 years old,2,"('At home', 'At a cafe')","('Pour over', 'Espresso')",,,Pourover,"('No - just black',)",,,Juicy,Somewhat strong,Light,Full caffeine,10,2,4,5,3,3,2,4,2,1,1,5,5,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"('It tastes good', 'I need the ritual')",,Yes,Yes,$8-$10,More than $20,No,$500-$1000,Yes,Male,Some college or associate's degree,Employed full-time,Married,None,"$25,000 - $49,999"
